00:13.233 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:13.234 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:13.599 OUT,type:DATA_AA,tx:1,rx:24,rssi:-62,seqno:63
00:13.600 OUT,type:DATA_AA,tx:21,rx:24,rssi:-54,seqno:64
00:13.601 OUT,type:DATA_AA,tx:7,rx:24,rssi:-54,seqno:64
00:13.620 OUT,type:DATA_AB,tx:21,rx:7,rssi:-54,seqno:64
00:13.621 OUT,type:DATA_AB,tx:1,rx:7,rssi:-62,seqno:63
00:13.622 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:64
00:13.625 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:13.626 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:13.627 OUT,type:DATA_AB,tx:24,rx:7,rssi:-58,seqno:64
00:13.635 OUT,type:DATA_BA,tx:7,rx:24,rssi:-54,movement:1,seqno:173
00:13.637 OUT,type:DATA_BA,tx:7,rx:24,rssi:-54,movement:1,seqno:174
00:13.647 OUT,type:DATA_BA,tx:7,rx:24,rssi:-54,movement:1,seqno:175
00:13.660 OUT,type:DATA_BA,tx:7,rx:24,rssi:-54,movement:1,seqno:176
00:14.782 OUT,type:FREQ,seqno:64,freq:26,grace:1000
00:15.075 OUT,type:DATA_AA,tx:21,rx:1,rssi:-64,seqno:65
00:15.323 OUT,type:DATA_AA,tx:7,rx:1,rssi:-60,seqno:65
00:15.477 OUT,type:DATA_BA,tx:7,rx:1,rssi:-60,movement:255,seqno:177
00:15.478 OUT,type:DATA_AB,tx:21,rx:7,rssi:-60,seqno:64
00:15.479 OUT,type:DATA_AB,tx:1,rx:7,rssi:-59,seqno:64
00:15.480 OUT,type:DATA_AB,tx:24,rx:7,rssi:-58,seqno:64
00:15.481 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:15.482 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:15.596 OUT,type:DATA_AA,tx:7,rx:21,rssi:-54,seqno:64
00:15.597 OUT,type:DATA_AA,tx:24,rx:21,rssi:-58,seqno:64
00:15.598 OUT,type:DATA_AA,tx:1,rx:21,rssi:-64,seqno:64
00:15.617 OUT,type:DATA_AB,tx:1,rx:7,rssi:-62,seqno:63
00:15.618 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:64
00:15.619 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:15.620 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:15.621 OUT,type:DATA_AB,tx:21,rx:7,rssi:-54,seqno:64
00:15.622 OUT,type:DATA_AB,tx:24,rx:7,rssi:-58,seqno:64
00:15.628 OUT,type:DATA_BA,tx:7,rx:21,rssi:-54,movement:1,seqno:174
00:15.633 OUT,type:DATA_BA,tx:7,rx:21,rssi:-54,movement:1,seqno:175
00:15.656 OUT,type:DATA_BA,tx:7,rx:21,rssi:-54,movement:1,seqno:176
00:15.732 OUT,type:DATA_AA,tx:24,rx:1,rssi:-60,seqno:65
00:17.076 OUT,type:DATA_AA,tx:24,rx:1,rssi:-59,seqno:65
00:17.200 OUT,type:DATA_AA,tx:7,rx:1,rssi:-62,seqno:65
00:17.354 OUT,type:DATA_BA,tx:7,rx:1,rssi:-61,movement:1,seqno:178
00:17.355 OUT,type:DATA_AB,tx:21,rx:7,rssi:-54,seqno:65
00:17.357 OUT,type:DATA_AB,tx:1,rx:7,rssi:-59,seqno:64
00:17.358 OUT,type:DATA_AB,tx:24,rx:7,rssi:-56,seqno:65
00:17.358 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:17.360 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:19.228 OUT,type:DATA_BA,tx:7,rx:1,rssi:-60,movement:1,seqno:179
00:19.229 OUT,type:DATA_AB,tx:21,rx:7,rssi:-54,seqno:65
00:19.230 OUT,type:DATA_AB,tx:1,rx:7,rssi:-59,seqno:64
00:19.231 OUT,type:DATA_AB,tx:24,rx:7,rssi:-57,seqno:65
00:19.232 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:19.233 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:19.481 OUT,type:DATA_AA,tx:7,rx:21,rssi:-54,seqno:65
00:19.483 OUT,type:DATA_AA,tx:24,rx:21,rssi:-58,seqno:65
00:19.484 OUT,type:DATA_AB,tx:21,rx:7,rssi:-60,seqno:64
00:19.485 OUT,type:DATA_AB,tx:1,rx:7,rssi:-59,seqno:64
00:19.486 OUT,type:DATA_AB,tx:24,rx:7,rssi:-58,seqno:64
00:19.504 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:19.505 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:19.506 OUT,type:DATA_AB,tx:21,rx:7,rssi:-54,seqno:65
00:19.507 OUT,type:DATA_AB,tx:24,rx:7,rssi:-56,seqno:65
00:19.508 OUT,type:DATA_AB,tx:24,rx:7,rssi:-57,seqno:65
00:19.514 OUT,type:DATA_BA,tx:7,rx:21,rssi:-54,movement:255,seqno:177
00:19.515 OUT,type:DATA_BA,tx:7,rx:21,rssi:-54,movement:1,seqno:178
00:19.540 OUT,type:DATA_BA,tx:7,rx:21,rssi:-54,movement:1,seqno:179
00:19.717 OUT,type:DATA_AA,tx:1,rx:24,rssi:-61,seqno:64
00:19.718 OUT,type:DATA_AA,tx:21,rx:24,rssi:-54,seqno:65
00:19.739 OUT,type:DATA_AA,tx:7,rx:24,rssi:-54,seqno:65
00:19.740 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:19.741 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:19.742 OUT,type:DATA_AB,tx:21,rx:7,rssi:-60,seqno:64
00:19.743 OUT,type:DATA_AB,tx:1,rx:7,rssi:-59,seqno:64
00:19.753 OUT,type:DATA_AB,tx:24,rx:7,rssi:-58,seqno:64
00:19.754 OUT,type:DATA_AB,tx:21,rx:7,rssi:-54,seqno:65
00:19.765 OUT,type:DATA_AB,tx:24,rx:7,rssi:-56,seqno:65
00:19.767 OUT,type:DATA_BA,tx:7,rx:24,rssi:-61,movement:255,seqno:177
00:19.770 OUT,type:DATA_BA,tx:7,rx:24,rssi:-54,movement:1,seqno:178
00:19.788 OUT,type:DATA_BA,tx:7,rx:24,rssi:-54,movement:1,seqno:179
